"","vtitle","vpoint","vreview"
"141","시카리오: 데이 오브 솔다도","10","잔잔하게 보기 좋았어요.가족이란 어떤 것 일까 여러가지 감정과 생각이 드는 작품이 였습니다."
"142","공조2: 인터내셔날","6","기대 안하고 보면 뭐 적당히 스며드는 정도..?"
"143","옆집사람","10","러닝타임이 끝나도 즐거운 영화는 오랜만이다."
"144","인생은 아름다워","8",""
"145","에브리씽 에브리웨어 올 앳 원스","10","단순하게 재밌는데 왜이리 눈물 포인트가 많은지....눈물이 몇번이나 펑펑 났다....장르 드라마인듯?"
"146","자백","10","저는 즐겁게 잘 봤습니다"
"147","20세기 소녀","10","빛이 나는사람 김호중 응원합니다"
"148","살인청부업자","10","초반에 보기힘든 부분이 있지만결말에는 정말 감탄했습니다"
"149","리멤버","8","현생인류의 기원이 되는 아프리카. 하지만 인류 역사에서 손톱에 박힌 가시처럼 늘 마음 한 구석을 저리고 아프게 하는 아프리카. 이 영화에서도 아프리카는 결국 희생양이었다. 아프리카에서 벌어지는 그 어두운 진실을 밝히려다 스러지고 마는 주인공 레이첼 와이즈. 그 주인공의 행적을 따라가다 이내 공공연하게 진실을 밝히게 되는 남자 주인공. 담담하지만 가슴 아리게 다가오는 영화다."
"150","낮에는 덥고 밤에는 춥고","10","역시 손현주네요 툭뚝 무심결에 벹는 말투가 삶의 베테랑 같이 느껴져 좋네요"
"151","시카리오: 데이 오브 솔다도","10","진짜 잼있음 한번 보세여"
"152","공조2: 인터내셔날","10","스토리는 진부했지만 코믹스영화답게 개연성 필요없이 계속 싸워서 좋았음. 닥터 페이트가 마법사 뽕도 채워줘서 좋았다. 최근 나온 히어로 영화중에서 제일 재밌었습니다."
"153","옆집사람","8","OOO기력 일가 끝까지 침묵한그의 분노 무서워서볼수가없었다 다봤지만 이래서 연기에 몰입한연기의 두려움느낄정도.."
"154","인생은 아름다워","4","자연의 이치를 들어 변론하기에는 너무 빈약한 서사와 얄팍한 감정선. 쓸데없는 베드씬은 왜이리 많은지."
"155","에브리씽 에브리웨어 올 앳 원스","7","고고다니노를 좋아한다면 추천!4세이하 아이들이 보기에는 무서운 장면이 있을수 있음특히 과격한 장면 등등~"
"156","자백","10","초반부는 좀 유치한감이 없지않아있는데 후반부는 재밌고 감동적이고해서 눈물이 줄줄 나오더라구요 너무 재밌게 봤습니다~ 또 보고싶어요!"
"157","20세기 소녀","10","데이빗김만큼 드라마틱하고 매력적인 히스토리를 가진 주인공은 소설에서도 흔치않을 것같다 소설'파친코'속 이주한인들의 삶도 대단하지만 데이빗김은 앞으로의 인생도 궁금증을 유발하는 인물임에는 틀림없다-영화 재밌었습니다 진심으로."
"158","살인청부업자","10","오랜만에 짱구보니깐, 어릴때 생각도 나고 좋았어요!스토리도 흥미진진하고 지루하지 않았어요 굿"
"159","리멤버","2","엄청나게 따분함. 영상 톤도 굉장히 칙칙해서 보는 내내 기분이 우울한 그런 영화임."
"160","낮에는 덥고 밤에는 춥고","6","편집이 좀 이상한것 빼고는 그런데로."
"161","시카리오: 데이 오브 솔다도","5","다른 잡다한 이야기보다는 노래를 많이 듣자"
"162","공조2: 인터내셔날","9","다 커서 다시 보니까 엄청 무섭진 않네요. 스릴러 정도?"
"163","옆집사람","2","재난 액션 잘나가다 영화를 ㅂㅅ으로 만드냐 반일반미에 억지 신파극까지"
"164","인생은 아름다워","10","가족 영화에 넣을 수 있는 쾌락이란 쾌락은 다 넣고 2배속 돌린 기분. 그런데도 완성도가 깨지질 않네."
"165","에브리씽 에브리웨어 올 앳 원스","3","와 이렇게 정신없는 영화는 처음. 끝까지 본게대단하네요"
"166","자백","7","조폭의 비정한 셰계를 잘보여준다"
"167","20세기 소녀","10","이 영화는 병맛이 아니라 잘만든 멋진 영화입니다전례없는 스타일"
